,player_name,p,hypothesis
0,SR Tendulkar,0.9564254884949291,Null
1,V Kohli,0.0005614248808195083,Alternate
2,KC Sangakkara,0.04832616271601413,Alternate
3,MS Dhoni,0.882216258628412,Null
4,RG Sharma,0.13151706801866347,Null
5,AB de Villiers,0.010961616599625116,Alternate
6,TM Dilshan,0.007860172389244953,Alternate
7,LRPL Taylor,0.43619300844148523,Null
8,DPMD Jayawardene,0.13371737980394183,Null
9,Tamim Iqbal,0.014753036498992775,Alternate
10,HM Amla,0.008012731110600354,Alternate
11,MJ Guptill,0.021282177376181124,Alternate
12,EJG Morgan,0.25551880827181284,Null
13,MJ Clarke,1.0,Null
14,Mushfiqur Rahim,0.8451314742400461,Null
15,RT Ponting,0.3046472696343206,Null
16,Yuvraj Singh,0.15504264906423607,Null
17,S Dhawan,0.1782785059496314,Null
18,Shakib Al Hasan,0.23704134254268003,Null
19,KS Williamson,0.12223393936893667,Null
20,WU Tharanga,0.4387670289752209,Null
21,CH Gayle,0.3523021850256416,Null
22,SR Tendulkar,0.9564254884949291,Null
23,Mohammad Hafeez,0.09960731084812217,Null
24,JE Root,0.3700150268272643,Null
25,Shoaib Malik,1.0,Null
26,DA Warner,0.2780610727215127,Null
27,Q de Kock,0.018292852942196965,Alternate
28,AD Mathews,0.28768932394931124,Null
29,V Sehwag,0.21387630590794965,Null
30,SK Raina,0.6106526971739589,Null
31,BRM Taylor,1.0,Null
32,F du Plessis,0.20467068494551716,Null
33,SR Watson,0.880725394533306,Null
34,IR Bell,0.46147991366793684,Null
35,GC Smith,1.0,Null
36,AJ Finch,0.8684101087587395,Null
37,BB McCullum,0.6828292178746712,Null
38,MEK Hussey,0.5423166437110076,Null
39,Babar Azam,0.09820269463154321,Null
40,G Gambhir,0.3704088682987495,Null
41,SPD Smith,0.11730123574478987,Null
42,JH Kallis,0.690052694928556,Null
43,JP Duminy,0.4396598585873024,Null
44,Younis Khan,0.41527896268315423,Null
45,SD Hope,0.12536828744146927,Null
46,Mahmudullah,0.8401183168819238,Null
47,Misbah-ul-Haq,1.0,Null
48,JC Buttler,0.06283136745661745,Null
49,Mohammad Yousuf,0.05484519042678125,Null
50,PR Stirling,0.5932759506258217,Null
